int(self),pig_8(0).sex,pig_8(0).ID,pig_8(0).age,pig_8(0).daily_feed_intake,pig_8(0).weight,pig_8(0).cumulative_feed_intake
0,Male,8,0,0.0,20.0,0.0
0,Male,8,0,2.159712639730973,19.999999999999996,2.159712639730973
0,Male,8,1,2.0033364420014688,19.999999999999996,4.163049081732442
0,Male,8,2,3.457058338676603,19.999999999999996,7.620107420409045
0,Male,8,3,3.2569472629010274,19.999999999999996,10.877054683310073
0,Male,8,4,0.8809831314189289,19.999999999999996,11.758037814729002
0,Male,8,5,1.3822633510572973,19.999999999999996,13.1403011657863
0,Male,8,6,3.017300417986025,19.999999999999996,16.157601583772326
0,Male,8,7,1.1546755160675706,21.23205977123466,17.312277099839896
0,Male,8,8,3.371442023948862,21.23205977123466,20.68371912378876
0,Male,8,9,3.295002391838583,21.23205977123466,23.978721515627342
0,Male,8,10,3.8087994273979593,21.23205977123466,27.7875209430253
0,Male,8,11,2.023082525555303,21.23205977123466,29.810603468580602
0,Male,8,12,0.623667306740373,21.23205977123466,30.434270775320975
0,Male,8,13,1.0376658912868024,21.23205977123466,31.471936666607778
0,Male,8,14,3.1121837641385732,22.577670674452293,34.58412043074635
0,Male,8,15,2.822798751274499,22.577670674452293,37.40691918202085
0,Male,8,16,3.445412614822205,22.577670674452293,40.85233179684305
0,Male,8,17,1.4159444847787228,22.577670674452293,42.26827628162177
0,Male,8,18,3.382975536142851,22.577670674452293,45.651251817764624
0,Male,8,19,1.7703039131840497,22.577670674452293,47.421555730948675
0,Male,8,20,1.4954323736380295,22.577670674452293,48.91698810458671
0,Male,8,21,3.8461883968325896,24.296213423652283,52.763176501419295
0,Male,8,22,1.6822560973888812,24.296213423652283,54.445432598808175
0,Male,8,23,3.096831153680902,24.296213423652283,57.54226375248908
0,Male,8,24,2.8518491415094642,24.296213423652283,60.39411289399854
0,Male,8,25,1.5556967750354622,24.296213423652283,61.949809669034
0,Male,8,26,3.4885792608834634,24.296213423652283,65.43838892991747
0,Male,8,27,3.419495800738246,24.296213423652283,68.85788473065571
0,Male,8,28,2.828139848916549,26.56089412092269,71.68602457957226
0,Male,8,29,1.5583657480228057,26.56089412092269,73.24439032759507
0,Male,8,30,3.933525187638552,26.56089412092269,77.17791551523362
